Season,Country,Winners,WinnerScore,Runners-upScore,Runners-up,HomeCountry,Venue,Attendance,Notes,Latitude,Longitude
1955–56,Spain,Real Madrid,4,3,Reims,France, Parc des Princes Paris France,38239,,48.8414,2.2530
1956–57,Spain,Real Madrid,2,0,Fiorentina,Italy, Santiago Bernabéu Madrid Spain,124000,,40.4531,-3.6883
1957–58,Spain,Real Madrid,3,2,Milan,Italy, Heysel Stadium Brussels Belgium,67000,Match was won during extra time,50.8957,4.3356
1958–59,Spain,Real Madrid,2,0,Reims,France, Neckarstadion Stuttgart West Germany,72000,,48.7775,9.1728
1959–60,Spain,Real Madrid,7,3,Eintracht Frankfurt,West Germany, Hampden Park Glasgow Scotland,127621,,55.8254,-4.2521
1960–61,Portugal,Benfica,3,2,Barcelona,Spain, Wankdorf Stadium Bern Switzerland,26732,,46.9594,7.4548
1961–62,Portugal,Benfica,5,3,Real Madrid,Spain, Olympisch Stadion Amsterdam Netherlands,61257,,52.3142,4.9416
1962–63,Italy,Milan,2,1,Benfica,Portugal, Wembley Stadium London England,45715,,51.5552,-0.2795
1963–64,Italy,Inter Milan,3,1,Real Madrid,Spain, Praterstadion Vienna Austria,71333,,48.2195,16.3834
1964–65,Italy,Inter Milan,1,0,Benfica,Portugal, San Siro Milan Italy,89000,,45.4789,9.1238
1965–66,Spain,Real Madrid,2,1,Partizan,Yugoslavia, Heysel Stadium Brussels Belgium,46745,,50.8948,4.3356
1966–67,Scotland,Celtic,2,1,Inter Milan,Italy, Estádio Nacional Lisbon Portugal,45000,,38.7081,-9.1385
1967–68,England,Manchester United,4,1,Benfica,Portugal, Wembley Stadium London England,92225,Match was won during extra time,51.5552,-0.2795
1968–69,Italy,Milan,4,1,Ajax,Netherlands, Santiago Bernabéu Madrid Spain,31782,,40.4531,-3.6883
1969–70,Netherlands,Feyenoord,2,1,Celtic,Scotland, San Siro Milan Italy,53187,Match was won during extra time,45.4789,9.1238
1970–71,Netherlands,Ajax,2,0,Panathinaikos,Greece, Wembley Stadium London England,83179,,51.5552,-0.2795
1971–72,Netherlands,Ajax,2,0,Inter Milan,Italy, De Kuip Rotterdam Netherlands,61354,,51.8937,4.5172
1972–73,Netherlands,Ajax,1,0,Juventus,Italy, Red Star Stadium Belgrade SFR Yugoslavia,89484,,44.7915,20.4680
